"beta","se","HR","CI_l","CI_u","p","gene","FDR"
-0.610044482230352,0.110298196804649,0.543326700153527,0.437698493989867,0.674445782092537,3.18654743481131e-08,"ENSG00000121104.8",0.000406516781651538
0.144368648893246,0.0264016596072395,1.15530993375853,1.09704735372677,1.21666675418057,4.54716757999484e-08,"ENSG00000107984.10",0.000406516781651538
0.263534076916569,0.051045337841033,1.30152164603051,1.17761010877021,1.43847151316915,2.43354188305461e-07,"ENSG00000174482.10",0.00136466827489027
0.421670404108675,0.0823551098024108,1.52450597096368,1.29726390099995,1.79155409605743,3.05294916082834e-07,"ENSG00000100522.10",0.00136466827489027
-0.298650147460495,0.0595717626264081,0.741818891265137,0.660070483353471,0.833691675837521,5.35089077987074e-07,"ENSG00000005379.17",0.00146945631834469
-0.254519581962531,0.0508387971412477,0.775288871264497,0.701761417820423,0.856520205646856,5.54561606767364e-07,"ENSG00000245694.10",0.00146945631834469
0.541988238546865,0.108412115457732,1.71942208719088,1.3902789309536,2.12648861181549,5.7529050494479e-07,"ENSG00000196781.16",0.00146945631834469
-0.244353766983321,0.0491381778920346,0.7832105112274,0.711298699264688,0.862392558191395,6.5996643308487e-07,"ENSG00000142494.13",0.00147502497794468
0.163878558197193,0.0331378348643437,1.17807123931007,1.10398857087988,1.25712519268514,7.60028620355886e-07,"ENSG00000146678.10",0.00150992352577369
0.454546218552368,0.0924523272466718,1.5754583070509,1.31435097263911,1.88843690074036,8.80840265887033e-07,"ENSG00000134333.14",0.00157494239540601
0.216490551138123,0.0446926643887823,1.24171135253934,1.13757014805688,1.3553863782895,1.27261186085383e-06,"ENSG00000229656.7",0.00206857273382423
0.523683197512636,0.109842532439003,1.68823431292111,1.36123964731996,2.09377907919126,1.86450816036395e-06,"ENSG00000160691.19",0.00276524849536177
-0.502510473404841,0.10642183022919,0.605009890346446,0.491106913810476,0.74533051179621,2.3368143943206e-06,"ENSG00000253878.5",0.00276524849536177
0.489766825114541,0.103895761113496,1.63193564917926,1.3312719987021,2.00050325227194,2.42875324313378e-06,"ENSG00000146731.11",0.00276524849536177
-0.279128213976692,0.0593121006993243,0.756442910443577,0.673425574238076,0.849694307210938,2.5251036047717e-06,"ENSG00000168405.17",0.00276524849536177
0.316427132025554,0.0673162047224124,1.37221624797458,1.20260470887415,1.56574925851425,2.59387241126758e-06,"ENSG00000135047.16",0.00276524849536177
0.155124844615709,0.0331092143252301,1.1678037460146,1.094428136396,1.24609880160489,2.79622613584314e-06,"ENSG00000101188.5",0.00276524849536177
-0.181498476892715,0.0389069828493866,0.834019515603712,0.772784725031911,0.900106497807818,3.08717275977043e-06,"ENSG00000176842.15",0.00276524849536177
-0.443888850165628,0.0952827274922707,0.641536723565171,0.53225128315481,0.773261391204623,3.18290295177366e-06,"ENSG00000247287.3",0.00276524849536177
-0.228443723742085,0.0490946293954032,0.795771078962879,0.722767685109697,0.87614820523919,3.2693298584481e-06,"ENSG00000158220.14",0.00276524849536177
-0.447883834471733,0.0963646907609262,0.638978907043043,0.529006183717818,0.771813366672693,3.3549354151853e-06,"ENSG00000272106.1",0.00276524849536177
-0.344737390947155,0.0742184924845412,0.70840636296685,0.612502066186205,0.819327154627683,3.40243103456147e-06,"ENSG00000171817.17",0.00276524849536177
0.336737464500493,0.0727788787946075,1.40037136827743,1.21420978590092,1.61507508163932,3.71256667045515e-06,"ENSG00000197930.13",0.00288611704642339
0.234763206084115,0.0508468675322217,1.26460928149208,1.14465716962091,1.39713154058657,3.89208575252952e-06,"ENSG00000259230.1",0.00289960388563449
0.193370897158028,0.0420480903815636,1.2133327317355,1.11734814976292,1.31756276520716,4.24924727032152e-06,"ENSG00000147509.14",0.00303906164773395
-0.310263937126205,0.0679755846180163,0.733253397887179,0.641790318841437,0.837751099897675,5.01059134341312e-06,"ENSG00000213366.13",0.00333385633974737
-0.280348769403531,0.0614348425835343,0.75552019317248,0.669811567786272,0.852196035039991,5.03434682176616e-06,"ENSG00000233609.3",0.00333385633974737
0.49761552917985,0.109699532543192,1.64479462628458,1.32658556423623,2.03933273178063,5.72855039321392e-06,"ENSG00000143641.10",0.00347092448121187
0.0922622083333022,0.0203530564451705,1.0966523357661,1.05376656549278,1.14128345396766,5.81274161965513e-06,"ENSG00000205420.11",0.00347092448121187
0.17794094775646,0.0392572424211404,1.19475476620218,1.10627461338346,1.29031158637647,5.82369879397965e-06,"ENSG00000175874.10",0.00347092448121187
-0.287229932542839,0.063493910391334,0.750339181604698,0.662539095924002,0.849774588269413,6.07563968305177e-06,"ENSG00000112796.10",0.00347604500463276
-0.279127117099707,0.0617711164138093,0.756443740168851,0.67018848815612,0.853800299696203,6.22110962797809e-06,"ENSG00000090661.12",0.00347604500463276
0.161978764584878,0.0359150257132634,1.17583527170577,1.09591168695454,1.26158759199795,6.48106220799517e-06,"ENSG00000124466.9",0.00351155734178647
0.361892713037309,0.0809422673230895,1.43604486480343,1.22537728490655,1.68293053831626,7.78554368635876e-06,"ENSG00000213080.3",0.00406756096693533
-0.486272028816591,0.108878319401848,0.614914510093243,0.496749395956714,0.761188353324463,7.9622278435535e-06,"ENSG00000124508.17",0.00406756096693533
-0.473872954828878,0.106314377903997,0.622586344132108,0.505480757984087,0.766821980416487,8.3006136741441e-06,"ENSG00000272462.3",0.0041226381248249
0.180980180890841,0.0408379246268025,1.19839142800731,1.10620951429068,1.29825498349856,9.35063094661145e-06,"ENSG00000128591.16",0.00451862922501115
0.27112439295711,0.0614617662966573,1.31143819391368,1.16260310217475,1.47932698032406,1.02766484905654e-05,"ENSG00000161714.12",0.00475270149556003
-0.28662250960272,0.0650680992735791,0.750795093288065,0.660899402404126,0.852918417016131,1.05802386297363e-05,"ENSG00000183044.12",0.00475270149556003
